;Métrica;Valor
0;top5_accuracy;0,40292590844738085
1;map;0,26294426091971135
2;precision@5;0,0805851816894718
3;recall@5;0,40292590844738085
4;mrr;0,26294426091971135
5;f1@5;0,13430863614912086
