;Métrica;Valor
0;top5_accuracy;0,643834754428468
1;map;0,1957656608878956
2;precision@k;0,24683635905983287
3;recall@k;0,24683793222787867
4;mrr;0,4928724999738016
5;f1@k;0,24683714564134918
