;Metrica;Valor
0;top5_accuracy;0,12865368278639525
1;map;0,018892594573619213
2;precision@k;0,03226882295566973
3;recall@k;0,03226882295566973
4;mrr;0,0719787307680205
5;f1@k;0,03226882295566973
