;Metrica;Valor
0;top5_accuracy;0,38813202026240445
1;map;0,2664844938069605
2;precision@5;0,07762640405254265
3;recall@5;0,38813202026240445
4;mrr;0,2664844938069605
5;f1@5;0,12937734008755394
